subject no.,mean_F7,max_F7,min_F7,std_F7,iqr_F7,var_F7,sum_F7,skw_F7,krt_F7,mean_first_diff_F7,mean_second_diff_F7,rms_F7,abssum_F7,ssi_F7,var_F7,mav_F7,log_F7,aac_F7,dasdv_F7,dfa_F7,fuzzy_F7,shannon_F7,pe_F7,hjorth_F7,hurst_F7,label
1,1.19810627,3.013399054,0.011459609,1.191870282,2.294327144,1.420554769,20.36780659,0.284159127,1.314118586,0.318612609,0.297701779,1.665067974,20.36780659,47.13167308,2.945729568,1.19810627,0.40471562,0.33793196,0.454456925,2.126381563,0.416182539,0.864740097,0.484091153,0.43573424,1.469767314,1
1,1.247213254,3.013399054,0.001956626,1.18812621,2.302846356,1.411643891,24.94426508,0.176724509,1.272954447,0.374278683,0.507677304,1.701940832,24.94426508,57.93205195,3.049055366,1.247213254,0.368020997,0.345263919,0.463572483,0.180252276,0.398695813,0.856997755,0.485904901,0.265482071,1.471437024,1
1,0.869650838,1.308526875,0.266912412,0.385963375,0.56267577,0.148967727,5.217905026,-0.288689964,2.109221104,0.50952628,0.545069562,0.938313568,5.217905026,5.282594111,1.056518822,0.869650838,0.775459033,0.49959837,0.503790048,0.140744572,34.2316951,1.33217904,0.218104292,0.738001512,0.47216095,2
1,0.376975422,1.302905027,0.010834823,0.458701199,0.629317331,0.21040679,6.408582174,0.937083993,2.338699222,0.169370439,0.190792373,0.583215559,6.408582174,5.782386606,0.361399163,0.376975422,0.129610262,0.179855575,0.27423169,0.672341635,0.617851569,0.918045918,0.633992174,0.47228796,1.062894442,2
1,0.428989555,1.308526875,0.009327103,0.488945701,0.805080263,0.239067899,8.579791091,0.720220393,1.922910311,0.224836,0.271371583,0.641207097,8.579791091,8.222930836,0.432785833,0.428989555,0.140160757,0.20492817,0.301146827,0.153900291,0.556163463,1.010209947,0.638621561,0.457775701,1.422708352,2
1,0.866345727,1.633500249,0.195279512,0.545439662,0.838682755,0.297504425,5.19807436,0.062725818,1.732706752,0.560364588,0.792025732,0.999237345,5.19807436,5.990851633,1.198170327,0.866345727,0.687060885,0.630859373,0.663877043,0.451742943,6.539956073,1.33217904,0.218104292,0.901796956,0.544916599,2
1,0.597746276,1.93240217,0.009167996,0.622687082,1.001679546,0.387739202,10.1616867,0.671720812,2.250201923,0.206974229,0.262087269,0.849842117,10.1616867,12.27793762,0.767371101,0.597746276,0.201646621,0.219564229,0.321012496,1.059974505,0.763779558,1.040839837,0.618682234,0.524806107,1.128284527,2
1,0.573457147,1.93240217,0.003700038,0.605576888,1.019047661,0.366723368,11.46914295,0.701203414,2.294034863,0.25930208,0.378617506,0.822946109,11.46914295,13.54480598,0.712884525,0.573457147,0.17950716,0.244192092,0.364616786,0.194145277,0.726420914,1.118406655,0.605184366,0.431845344,1.303928668,2
1,0.593122854,1.12388986,0.227314574,0.335513861,0.449781812,0.112569551,3.558737123,0.469007286,1.9891698,0.360828041,0.514528166,0.667534777,3.558737123,2.673616073,0.534723215,0.593122854,0.513740683,0.359227782,0.43222755,0.209847465,14.64342382,1.33217904,0.218104292,0.906542993,0.306860747,2
1,0.335765322,1.050443532,0.009684201,0.33118813,0.566704214,0.109685578,5.708010482,0.59812111,2.205765194,0.199493133,0.331467107,0.464727702,5.708010482,3.671521225,0.229470077,0.335765322,0.140461409,0.211475039,0.317188454,0.529916361,0.911778788,1.157373298,0.487061095,0.731597034,1.218368154,2
1,0.33197717,1.050443532,0.001901573,0.32543645,0.568264036,0.105908883,6.6395434,0.581077946,2.151937896,0.214933211,0.377816911,0.459153874,6.6395434,4.216445603,0.22191819,0.33197717,0.125758439,0.222906041,0.322119541,0.10285154,0.79673395,1.194272684,0.520590838,0.683787283,1.304848659,2
1,1.517277385,1.983357413,1.21450859,0.278028722,0.350770583,0.07729997,9.103664312,0.709408944,2.320282197,0.365199676,0.63929186,1.53835864,9.103664312,14.19928383,2.839856767,1.517277385,1.497263107,0.40187995,0.44158985,0.190112471,13.07229942,1.054920168,0.218104292,0.47654638,0.365721774,2
1,0.80148379,3.314918012,0.0094646,0.917411329,1.304253415,0.841643546,13.62522444,1.208005562,4.131590172,0.416900695,0.587862577,1.197710887,13.62522444,24.38669327,1.524168329,0.80148379,0.253414961,0.442865118,0.689661885,1.461649148,0.5238129,0.688567369,0.57835426,0.610060789,1.279045947,2
1,0.835392696,3.314918012,0.007994665,0.894360489,1.385466445,0.799880684,16.70785392,1.005520046,3.74767868,0.401308498,0.607782605,1.207380473,16.70785392,29.15535213,1.534492217,0.835392696,0.255199846,0.397821621,0.637717957,0.114855362,0.485444348,0.733541749,0.582037435,0.514811331,1.473310894,2
